series_id,year,raw_ring_width,fitted_growth,rwi
3TANA,1987,141,144.3523757259086,0.9767764423061941
3TANA,1988,164,143.07800415979221,1.1462278982927503
3TANA,1989,124,141.81735388571042,0.8743640788836795
3TANA,1990,69,140.57027716507565,0.49085767910218564
3TANA,1991,58,139.33662785001735,0.41625810022065046
3TANA,1992,81,138.11626136625424,0.5864624425736926
3TANA,1993,176,136.9090346961515,1.2855250962115456
3TANA,1994,115,135.71480636196026,0.8473651702621708
3TANA,1995,147,134.53343640923717,1.0926651687751496
3TANA,1996,250,133.36478639044324,1.8745577956994703
3TANA,1997,147,132.2087193487185,1.1118782537501744
3TANA,1998,145,131.06509980183176,1.106320448534641
3TANA,1999,207,129.9337937263034,1.5931190344217245
3TANA,2000,152,128.81466854169847,1.179989839051569
3TANA,2001,173,127.70759309508946,1.3546571179302267
3TANA,2002,120,126.6124376456862,0.9477741857858347
3TANA,2003,108,125.52907384963119,0.8603584547223784
3TANA,2004,179,124.4573747449586,1.4382434176103394
3TANA,2005,91,123.39721473671548,0.7374558671697794
3TANA,2006,74,122.34846958224284,0.6048297968309042
3TANA,2007,150,121.31101637661537,1.2364911652732216
3TANA,2008,170,120.28473353823799,1.4133131861322845
3TANA,2009,98,119.26950079459733,0.82166856863745
3TANA,2010,172,118.26519916816686,1.4543585197486972
3TANA,2011,154,117.27171096246344,1.3131896749531744
3TANA,2012,147,116.28891974825437,1.2640929188974313
3TANA,2013,68,115.31671034991255,0.5896803663030573
3TANA,2014,162,114.35496883191901,1.4166415474093699
4TANA,1869,400,515.4945781208773,0.775953845059074
4TANA,1870,499,489.8268925620704,1.0187272433939858
4TANA,1871,500,465.83107751432175,1.0733504571399657
4TANA,1872,510,443.3982353133155,1.1502075547044568
4TANA,1873,485,422.42656136875996,1.1481285609230811
4TANA,1874,494,402.82088215540455,1.2263515172220376
4TANA,1875,367,384.4922232971169,0.9545056512531861
4TANA,1876,200,367.3574057839015,0.5444289317462413
4TANA,1877,400,351.3386684894139,1.1385026354195689
4TANA,1878,70,336.3633152758823,0.20810830676522082
4TANA,1879,574,322.3633850849299,1.780599244696397
4TANA,1880,315,309.2753435171065,1.01850990259292
4TANA,1881,328,297.0397945004566,1.1042291506820168
4TANA,1882,314,285.6012107396214,1.0994351150922443
4TANA,1883,223,274.90768172219873,0.8111814068016739
4TANA,1884,217,264.91067813876634,0.8191440281857207
4TANA,1885,292,255.56483164746027,1.14256722303169
4TANA,1886,295,246.82772898363692,1.1951655562149446
4TANA,1887,161,238.6597194802494,0.6746006420799626
4TANA,1888,117,231.02373512542738,0.5064414699055851
4TANA,1889,294,223.88512234064743,1.313173456665293
4TANA,1890,232,217.2114847160701,1.0680834869448126
4TANA,1891,208,210.97253598934668,0.985910317779482
